city_ascii,lat,lng,country,capital,population
Quezon City,14.65,121.0475,Philippines,admin,2960048
Kyiv,50.45,30.5233,Ukraine,primary,2952301
Kottarassheri,10.775,76.651,India,,2952254
Meishan,30.0771,103.8484,China,,2950545
Incheon,37.4833,126.6333,"Korea, South",admin,2936117
Ningde,26.6662,119.5477,China,minor,2910000
Zhongshan,22.517,113.3925,China,minor,2909633
Minneapolis,44.9635,-93.2678,United States,,2906807
Tampa,27.9945,-82.4447,United States,,2906035
Putian,25.4526,119.0078,China,minor,2900000
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),admin,2892000
Tongliao,43.654,122.243,China,minor,2873168
Chaoyang,41.571,120.453,China,,2872857
Hohhot,40.842,111.749,China,admin,2866615
Pyongyang,39.0167,125.7475,"Korea, North",primary,2863000
Shaoguan,24.811,113.597,China,minor,2855131
Taichung,24.1439,120.6794,Taiwan,admin,2850285
Cali,3.4206,-76.5222,Colombia,admin,2838333
Heyuan,23.7443,114.7002,China,minor,2837686
Wuzhou,23.4767,111.279,China,minor,2820977
Pretoria,-25.7461,28.1881,South Africa,primary,2818100
Suining,30.533,105.593,China,minor,2814196
Omdurman,15.6835,32.4629,Sudan,,2805396
Weihai,37.5133,122.1205,China,minor,2804771
Rizhao,35.417,119.527,China,minor,2801013
Malang,-7.98,112.62,Indonesia,,2795209
Stuttgart,48.7775,9.18,Germany,admin,2787724
Daqing,46.589,125.104,China,minor,2781562
Rome,41.8931,12.4828,Italy,primary,2748109
Kaohsiung,22.615,120.2975,Taiwan,admin,2737660
Brooklyn,40.6501,-73.9496,United States,,2736074
Xiangtan,27.8313,112.9454,China,,2726181
Bazhou,31.868,106.748,China,minor,2712894
Handan,36.601,114.487,China,minor,2708015
Brisbane,-27.4678,153.0281,Australia,admin,2706966
Jinzhou,41.129,121.148,China,,2703853
Denver,39.762,-104.8758,United States,admin,2691349
Xinzhou,38.416,112.734,China,minor,2689668
Nanping,26.6418,118.1774,China,minor,2680645
Gazipura,23.9234,90.3959,Bangladesh,,2674697
Shanwei,22.7872,115.3756,China,minor,2672819
Maracaibo,10.6333,-71.6333,Venezuela,admin,2658355
Chaozhou,23.658,116.622,China,minor,2656600
Baotou,40.6213,109.9532,China,,2650364
Longyan,25.076,117.017,China,minor,2640000
Weifang,36.708,119.162,China,,2636154
Huai'an,33.551,119.113,China,,2632788
Zibo,36.8138,118.055,China,,2631647
Attadappa,11.8689,75.3555,India,,2615266
Munich,48.1375,11.575,Germany,admin,2606021
Gulou,26.0865,119.298,China,minor,2606000
Birmingham,52.48,-1.9025,United Kingdom,,2590363
Valencia,10.1833,-68,Venezuela,admin,2585202
Damascus,33.502,36.2981,Syria,primary,2584771
Chattogram,22.335,91.8325,Bangladesh,admin,2581643
Brazzaville,-4.2667,15.2667,Congo (Brazzaville),primary,2557100
Yangjiang,21.857,111.983,China,minor,2555600
Sanaa,15.3483,44.2064,Yemen,primary,2545000
Barmhan Kalan,19.1972,72.9722,India,,2537000
Medellin,6.2308,-75.5906,Colombia,admin,2529403
Dingxi,35.608,104.592,China,minor,2524097
Shaoxing,30.0511,120.5833,China,minor,2521964
Yantai,37.4646,121.4478,China,,2511053
Huizhou,23.112,114.416,China,minor,2509243
Xuanzhou,30.939,118.759,China,,2500063
Mirzapur,25.146,82.569,India,,2496970
Hamburg,53.55,10,Germany,admin,2496600
Taipei,25.0375,121.5625,Taiwan,primary,2494813
Ankang,32.6854,109.029,China,,2493436
Zigong,29.339,104.779,China,,2489256
Sanming,26.2634,117.6389,China,minor,2486450
Toluca,19.2925,-99.6569,Mexico,admin,2476689
